"","player_name","team_name","games","time","goals","assists","shots","key_passes","xG","xA","npxG","npxG90","xA90","npxG_plus_xA90"
"61","Alejandro Garnacho","Manchester United",17,976,3,1,41,16,3.53366144001484,1.47852171584964,3.53366144001484,0.325849927870221,0.136339092650069,0.46218902052029
"62","Trent Alexander-Arnold","Liverpool",17,1418,2,3,26,47,1.30066091567278,5.95156089216471,1.30066091567278,0.0825525263826164,0.377743639135983,0.460296165518599
"63","Yoane Wissa","Brentford",17,1408,3,1,40,13,5.66501353308558,1.53593299910426,5.66501353308558,0.362110240040982,0.0981775354541076,0.46028777549509
"64","Cody Gakpo","Liverpool",17,794,2,1,24,10,3.47182789817452,0.553370043635368,3.47182789817452,0.393532129516004,0.0627245641400292,0.456256693656033
"65","Luis Díaz","Liverpool",18,1122,3,1,34,20,3.73823888041079,1.8799771592021,3.73823888041079,0.299858733722791,0.150800306887869,0.45065904061066
"66","Dejan Kulusevski","Tottenham",18,1603,5,2,33,41,2.88594729453325,5.00024786964059,2.88594729453325,0.162030727703052,0.280737559742765,0.442768287445818
"67","Antoine Semenyo","Bournemouth",15,862,3,1,30,11,2.35240478627384,1.8391491137445,2.35240478627384,0.245610708543672,0.192022529277268,0.43763323782094
"68","Jack Hinshelwood","Brighton",7,459,1,0,9,4,1.50402320921421,0.70787002146244,1.50402320921421,0.29490651161063,0.138798043424008,0.433704555034637
"69","Jay Rodriguez","Burnley",13,690,2,1,18,3,3.91254914551973,0.147509101778269,3.15138030797243,0.411049605387708,0.0192403176232524,0.430289923010961
"70","Jack Harrison","Everton",12,957,1,3,12,13,1.75242931395769,2.77329114452004,1.75242931395769,0.16480526463552,0.260811079421948,0.425616344057467
"71","Antony","Manchester United",15,874,0,0,24,16,1.38518521375954,2.71780809387565,1.38518521375954,0.142639209654873,0.279865822023808,0.422505031678681
"72","James Ward-Prowse","West Ham",17,1518,3,5,22,35,2.88250063359737,4.21264269202948,2.88250063359737,0.170899247051228,0.249761424428625,0.420660671479853
"73","Pascal Groß","Brighton",16,1370,3,6,30,45,2.74135397002101,3.60773856472224,2.74135397002101,0.180088946935687,0.237004723229928,0.417093670165615
"74","Harvey Elliott","Liverpool",16,351,1,1,17,9,0.552830735221505,1.0688568931073,0.552830735221505,0.141751470569617,0.274065870027512,0.415817340597128
